POS
"(-5.190032033537969, -4.971732611975393)"
"(1.7053386484742679, -5.4172602140341155)"
"(5.992629175402006, -4.472352397516676)"
"(-6.857801485560502, 1.817433411137501)"
"(-4.368352214852204, 5.984310703676731)"
"(-2.463832477409835, 8.820825390408071)"
"(8.061172162807303, 2.489649028495227)"
"(-1.581938251584956, -3.223013890386281)"
"(2.070598320224139, 0.1420219819926771)"
"(-5.932287603777275, 5.100197423248316)"
"(-1.132966533683821, 8.716395806042604)"
"(-4.003791783131403, 3.9020164229408616)"
"(5.974650054310851, -5.245117487737531)"
"(-10.303947927390848, 0.42878528075252437)"
"(-5.106249281559725, 3.384934239922123)"
"(5.050924795125264, -4.494487113868238)"
"(-4.462101897578427, -1.0843597614965532)"
"(-7.746740169524968, 0.6714620509406102)"
"(1.8005769565599599, -6.839854875858024)"
"(3.2728129415312566, 3.197970021330895)"
"(-6.401146825209578, -0.6406856600349142)"
"(5.5539703395596245, -5.662304847798118)"
"(-3.017331615479276, 3.3681818034206024)"
"(-4.37947161916068, -1.2704065987270847)"
"(0.31729268496390794, -7.251204664816614)"
"(1.6846514526601784, -3.9975103913649606)"
"(1.132530408476571, 6.139273271307093)"
"(1.197145399252376, -1.79989952707926)"
"(-7.278425300245054, -1.6953443706375415)"
"(4.80410572233424, 2.6688649782426674)"
"(10.065482276009806, -0.126026478447961)"
"(-9.358076972918917, -0.36046912008887244)"
"(-0.9971958286503027, 1.3181375091181633)"
"(-9.238377057396475, 0.0908005250707524)"
"(-3.6926664169042187, -3.407788746716583)"
"(-4.3010469641724836, 2.483657559007962)"
"(-6.398800940773843, -3.5267891880527626)"
"(-1.652254649176918, 1.4139385913225822)"
"(0.7458200351733306, 1.6626226628168985)"
"(-5.077061114102797, 4.471401257488195)"
"(9.307297110556934, -1.3366325845698805)"
"(4.782545421701252, 4.689991889096978)"
"(-1.9292737132541504, -9.181810838777144)"
"(0.9562876643503427, -2.5311485133877785)"
"(-1.6491163807963554, -1.4959393436225181)"
"(-9.385125821384703, -0.6472319972830484)"
"(-10.303947653831074, 0.42879054438632125)"
"(0.3954451098795555, 8.498875705989644)"
"(3.090945163379259, 6.25277177657698)"
"(9.310002172389863, -1.3365801994069668)"
"(-3.0228912593450694, 5.633189683294378)"
"(-7.329209158333924, -2.3306858859880295)"
"(-0.23396292152686143, 3.7116775852021693)"
"(7.24282305873003, 0.3028137415696479)"
"(4.256013685642484, 3.0174547881172473)"
"(1.7492588183251638, 2.4080036073723283)"
"(9.329548497849627, -2.9664256347555233)"
"(-8.296021168440156, 0.1736276823556689)"
"(3.8552521989781945, -6.565403746287981)"
"(-5.880779484168692, 4.286588553153365)"
"(4.543786213973842, -5.704797709006212)"
"(8.061172162807303, 2.489649028495227)"
"(4.833650864246392, 6.057607955737153)"
"(6.178309538204996, 0.3699174145911967)"
"(-1.2486438380199552, -1.0577372853729305)"
"(6.3002308550788335, 3.6447212779459583)"
"(1.192190845394647, -2.430970914531564)"
"(-0.6860592030767977, -4.462548541065899)"
"(8.158816416934386, 2.5896145780597037)"
"(2.009196914982913, 3.4161524764257343)"
"(-6.360488836652857, -0.9203245386295127)"
"(3.356674482655853, -2.900629586836248)"
"(-2.7067681362041793, 1.246594338545309)"
"(-8.225571342358062, -2.26014215025159)"
"(-2.349297084165685, -2.4305145888362696)"
"(-1.9086233966674504, 0.6755296186962712)"
"(-1.4828379222938066, -10.285674085378126)"
"(-1.6624255278793747, 6.748681152530474)"
"(-0.6571896853382937, 2.2291703553191637)"
"(-3.647890241807887, -4.230545304284935)"
"(-7.377524515602996, -1.0243220534435242)"
"(-6.128377745478726, 3.293583807662714)"
"(-0.03745141633949828, -0.1187847375348426)"
"(-2.060975288062532, 8.549607841085992)"
"(1.0583681334187056, 0.006101102508738208)"
"(5.941215308278602, 2.394192889546529)"
"(-0.8251121481739292, -1.5998908703662695)"
"(4.57776698203242, -7.0646635394205415)"
"(-5.033379750320163, 2.319925657506879)"
"(0.3373363868739173, 5.102322564088071)"
"(4.680406470340102, -4.845055937904606)"
"(1.2170947302432804, -6.467549947652506)"
"(-5.451667664692067, -1.3569246056685753)"
"(1.7246111830705915, 6.448480410558629)"
"(1.2460794631122507, 7.133240798078459)"
"(6.61594126768269, 3.8765238966139055)"
"(4.850021562525043, 0.5723752393023626)"
"(1.1487468775054086, 3.215282595809084)"
"(10.103490128171655, 0.383636890879659)"
"(-2.3594696468413834, -2.123467354371895)"
"(1.9175622509429502, 7.3990579812288)"
"(-1.8967585768767778, -0.8067644263357395)"
"(-3.7910886961428827, -5.4688071584528135)"
"(1.2469514387724985, -10.20391384666784)"
"(-0.8777369717843955, -0.2744165888643546)"
"(3.979067988321775, -5.794766564511628)"
"(4.040671219683351, -0.5382472886645386)"
"(-2.448868779710574, 5.742024368031875)"
"(-0.0874097428492809, -9.279896270458014)"
"(-6.696410513400194, 0.8226471762337094)"
"(2.8675963753742244, 1.9076088962757862)"
"(2.3624965532738536, -4.605944245258613)"
"(0.4723472596981624, 5.177144040128602)"
"(4.070934612026622, 6.78640766120048)"
"(-9.229108374177393, 0.7545977804272042)"
"(3.1736948665914726, 1.4712374729552826)"
"(-0.6079747854142858, 0.8821059648299648)"
"(-1.3138842705521945, -7.157619417654981)"
"(2.667641364140867, -9.393726959701844)"
"(1.3790425654860043, 9.058430826200606)"
"(0.1589546469204064, -8.3380660621632)"
"(-2.663673661503238, -3.3311851767615233)"
"(-1.2799505942911207, -2.38608177109538)"
"(3.4364488882437394, 7.660289417744237)"
"(-0.17709568483981225, -6.161225416575899)"
"(-1.4473455182066908, 0.28454077319194754)"
"(-0.5612272272382877, -1.2732496458759348)"
"(-0.08758028749698231, -10.366848021257287)"
"(1.7920799023829876, 4.5412720368720185)"
"(-6.154228840440831, 3.2802456404595457)"
"(10.065482276009806, -0.126026478447961)"
"(-5.710211897625041, 0.6178072788987218)"
"(-8.353237862605065, -0.6623760155804106)"
"(4.36195587515155, -0.63634998943068)"
"(-0.7598879877407734, -10.616015656756073)"
"(-1.5569517745936001, 7.542007600770958)"
"(3.7723996357069294, -8.48317417468202)"
"(2.203767588837224, 4.4376630769963725)"
"(1.3067147482690027, -0.7180281695196703)"
