POS
"(8.8508835, 13.824514)"
"(2.7776253, -2.1126113)"
"(8.133504, 2.2466347)"
"(12.628942, 5.0087147)"
"(5.5971212, 3.9904988)"
"(-4.1998687, 8.786502)"
"(11.467572, 1.6958346)"
"(7.9341702, 8.902986)"
"(0.99408853, 10.365685)"
"(5.409969, 1.0729518)"
"(10.783694, 3.7496715)"
"(2.3588214, 11.97389)"
"(7.0569053, 6.4566803)"
"(3.0895047, 11.630201)"
"(-0.0020219842, 4.69611)"
"(0.7887884, -1.7709811)"
"(9.311618, 13.964272)"
"(5.5887747, 0.37942848)"
"(-2.4361875, 9.214013)"
"(-0.25010672, 4.626034)"
"(-0.61356044, 10.438278)"
"(-4.1368504, 10.521522)"
"(-0.956964, -1.1717788)"
"(10.706934, 1.4672137)"
"(8.390232, -1.5524372)"
"(4.19787, -0.7349925)"
"(6.3464255, 1.0573932)"
"(-2.630138, 9.070483)"
"(-0.33616605, 11.835276)"
"(2.3708754, -2.2695897)"
"(10.470574, 5.0248723)"
"(-2.13906, 0.55685824)"
"(2.295708, 3.3434627)"
"(0.5072314, 5.076449)"
"(7.0630155, -2.247196)"
"(1.9999754, 11.678789)"
"(-3.000833, 4.494699)"
"(12.593413, 3.3880897)"
"(8.248511, 2.3969371)"
"(0.9073792, 7.474026)"
"(6.2760653, 1.8167458)"
"(-0.23329261, 4.3321314)"
"(9.485708, 5.590423)"
"(6.9811134, 8.991781)"
"(5.9308143, 2.4628963)"
"(10.202648, 3.3664057)"
"(3.331461, -2.9815407)"
"(-0.7649912, -1.5163516)"
"(1.7987255, 11.49049)"
"(1.8546091, 7.2907305)"
"(7.8607864, 6.75187)"
"(2.6123831, 7.5749755)"
"(6.8802366, 12.999379)"
"(-3.3789372, 5.8534474)"
"(7.2082925, 7.4314914)"
"(7.6260715, 4.339434)"
"(5.5187616, 8.31293)"
"(0.70633644, 4.4933634)"
"(4.0325575, -1.8430011)"
"(-3.5490608, 8.656797)"
"(0.2816249, -4.4632897)"
"(-0.6672627, 1.6034005)"
"(12.43056, 2.2957788)"
"(1.6764424, -4.548547)"
"(2.683574, 5.4903464)"
"(8.507823, 2.7784004)"
"(-1.6012709, -0.16311021)"
"(-2.2461383, 3.3485227)"
"(4.3705544, 4.6023183)"
"(5.001662, 8.695249)"
"(7.733036, -1.7753795)"
"(9.5363035, 0.59678125)"
"(9.716951, 2.3120134)"
"(2.9573228, 2.6113868)"
"(-0.19898818, 3.4424467)"
"(7.588211, 6.9843955)"
"(9.888603, 14.208482)"
"(-2.0502, 7.0713573)"
"(8.800962, 14.617463)"
"(0.29505843, -4.7510347)"
"(5.5311766, 11.172863)"
"(-0.60617024, 11.593059)"
"(3.9101682, 5.20664)"
"(-3.8923035, 5.2687488)"
"(5.6370025, 11.999665)"
"(-0.6240217, 5.5120215)"
"(7.810793, 11.475195)"
"(-3.491739, 8.974956)"
"(3.6974845, -2.438473)"
"(8.435679, 6.3894897)"
"(-4.021852, 5.5781617)"
"(7.270124, 11.014674)"
"(1.7362735, 4.215959)"
"(12.016386, 3.1907508)"
"(7.1098413, 2.6911912)"
"(7.0989256, 0.25454938)"
"(6.7276874, -2.2580214)"
"(13.326327, 3.8435225)"
"(8.21549, 3.4432967)"
"(6.404363, 9.999207)"
"(8.083356, 9.077085)"
"(10.917334, 7.702187)"
"(1.1996074, 6.478983)"
"(7.6080756, 6.157454)"
"(-3.2429404, 10.460215)"
"(-0.2963984, -2.6500614)"
"(8.737667, 0.9440698)"
"(10.221563, 5.6997666)"
"(5.0834875, 7.1139016)"
"(7.466311, 8.620229)"
"(6.7798085, 7.348454)"
"(4.9141283, -0.25037757)"
"(1.1665319, 2.1685464)"
"(5.859402, 4.1244774)"
"(10.013811, 10.157501)"
"(10.675305, 8.517443)"
"(2.032148, 8.055946)"
"(-0.91649586, 0.35608575)"
"(9.627396, 13.136515)"
"(-2.97214, 4.2456403)"
"(1.7759192, 9.549331)"
"(-3.6093814, 8.866571)"
"(7.627225, -2.2761474)"
"(8.567212, 2.4550397)"
"(-1.3020318, 8.395671)"
"(9.056095, 11.461909)"
"(8.156053, 13.795514)"
"(8.975004, 3.9333928)"
"(4.723135, 11.478403)"
"(9.695345, 11.120793)"
"(-2.972394, 5.3800545)"
"(9.664716, 6.5469356)"
"(8.796104, 5.6183023)"
"(-0.9647995, 7.183587)"
"(6.067822, 3.1498861)"
"(-0.83300495, 2.7095582)"
"(2.0168588, 2.1639395)"
"(-1.0217636, 6.4102864)"
"(9.101297, 4.9424257)"
"(2.963985, 10.443463)"
"(-2.4260993, 11.243141)"
"(5.7149587, 0.6520397)"
"(8.016923, 0.045575254)"
"(0.67706406, -3.9096086)"
"(7.7005014, 13.965296)"
"(6.6194186, 6.6144323)"
"(0.14591604, 6.843462)"
"(10.966649, 4.384457)"
"(2.7384393, 3.2539904)"
"(3.196721, 2.259964)"
"(3.3301747, 4.3729653)"
"(2.4510717, 7.3827715)"
"(-1.0154777, 4.3699937)"
"(7.7348695, -2.0356436)"
"(-0.46104777, 7.9773684)"
"(11.428131, 7.1973643)"
"(2.3243198, 2.7978094)"
"(8.368778, 6.356787)"
"(7.486686, 6.338742)"
"(0.75207466, 9.849283)"
"(-1.0633162, 1.6451002)"
"(13.137523, 3.8101847)"
"(2.665727, -3.6011105)"
"(-1.2708281, 11.448452)"
"(-0.7427687, 0.5562902)"
"(-3.5945518, 5.242679)"
"(6.506409, 13.356279)"
"(2.464323, 11.683513)"
"(-2.0744288, 7.3994136)"
"(8.0703945, 3.6738808)"
"(11.368655, 8.36801)"
"(10.155244, 3.129718)"
"(-4.529675, 8.349487)"
"(10.507682, 8.475817)"
"(-3.443056, 9.672456)"
"(3.1278753, -0.89593)"
"(6.189102, 11.397898)"
"(-0.13496372, -3.9658358)"
"(0.97888505, 9.675593)"
"(-4.208499, 9.455464)"
"(8.002482, -0.7889331)"
"(3.940329, 5.466839)"
"(-0.6746163, 4.8410664)"
"(10.03571, 1.5728135)"
"(0.91555756, -4.503739)"
"(7.8563128, 5.5321317)"
"(11.464632, 8.502094)"
"(2.232493, -3.1868021)"
"(9.256603, 1.6685972)"
"(-0.37030774, -0.9204242)"
"(1.1050316, 12.067205)"
"(-0.21368714, -1.9359878)"
"(6.207559, 2.0349753)"
"(-1.0980644, 11.513023)"
"(7.6271315, 9.966342)"
"(3.3891978, 6.5459137)"
"(12.793482, 4.448715)"
"(1.141936, -4.7311525)"
"(8.536842, 13.905944)"
"(3.742898, 2.0109499)"
"(2.7720466, 7.205645)"
"(-3.3334827, 10.815276)"
"(5.6688333, 3.4015548)"
"(5.410897, -0.83137953)"
"(9.792059, 8.289426)"
"(9.067684, 12.059225)"
"(9.165768, -0.2853514)"
"(0.7786523, -4.90475)"
"(6.843991, 12.996786)"
"(1.3326036, 5.1892276)"
"(-1.2031982, 0.26183608)"
"(10.99591, 1.1237367)"
"(11.156877, 0.69468284)"
"(6.979157, 7.012533)"
"(-3.8144534, 9.87615)"
"(5.060167, 6.0893755)"
"(-3.1209261, 6.758323)"
"(0.16621827, -4.5171537)"
"(4.826498, 11.284406)"
"(4.926257, 4.6582527)"
"(8.233066, 12.510474)"
"(3.2725272, 11.227607)"
"(10.151064, 5.772373)"
"(10.894173, 2.3001966)"
"(-1.2144786, 9.348723)"
"(5.666894, 3.367741)"
"(5.6000276, 11.93255)"
"(5.0240407, 0.009235546)"
"(-2.7042735, 2.9712477)"
"(-2.7156448, 3.6386545)"
"(0.76147074, 4.884688)"
"(-0.46305794, 6.0456133)"
"(6.043629, 8.658732)"
"(10.1536255, 11.758373)"
"(7.4766397, 13.957142)"
"(2.1341677, 11.96726)"
"(-0.26018655, 9.456025)"
"(8.487299, 11.480354)"
"(-0.98994, -0.5278546)"
"(-0.117329426, -1.1538317)"
"(1.6335824, 4.8532662)"
"(10.080423, 1.0102963)"
"(10.98014, 2.7379549)"
"(10.266623, 4.2034025)"
"(-3.0600207, 10.602321)"
"(3.3725872, 3.0017488)"
"(-1.884155, 8.830734)"
"(-0.5850563, -0.10896004)"
"(7.431826, 12.936502)"
"(7.8970118, -0.979769)"
"(13.09519, 3.1371858)"
"(10.591593, 6.808179)"
"(9.48259, 11.625574)"
"(0.46704352, 7.134459)"
"(6.2460413, 11.219323)"
"(0.37658626, 1.8365363)"
"(0.1746689, 6.4230294)"
"(5.3809323, 10.300991)"
"(9.010963, 5.282652)"
"(6.9295425, 5.3893533)"
"(-1.9314535, 3.7824383)"
"(3.0437536, -3.1615188)"
"(8.58386, 4.4823985)"
"(5.3146386, -0.7952418)"
"(8.555036, 11.8536825)"
"(8.106603, -1.1898443)"
"(10.776195, 3.0290368)"
"(8.228899, 11.327246)"
"(7.917355, 7.8973894)"
"(9.627787, 3.3670843)"
"(0.4119791, 2.405079)"
"(12.926208, 4.235609)"
"(-3.8648925, 4.4238706)"
"(7.4443245, 9.224441)"
"(-3.8578439, 6.6932898)"
"(12.922711, 3.1860707)"
"(6.040097, 10.129953)"
"(6.8850956, -2.52689)"
"(10.293992, 5.358873)"
"(2.5589733, 4.1121383)"
"(-0.41080675, 6.778265)"
"(-4.056961, 8.132874)"
"(1.5089939, -2.4702208)"
"(0.9871977, 6.5201106)"
"(6.4188814, 3.5300868)"
"(-0.355717, 11.511053)"
"(-3.852097, 7.9342318)"
"(7.251627, -2.1416352)"
"(4.087201, 11.669299)"
"(5.182114, 3.712499)"
"(2.4591901, -1.5357426)"
"(6.103558, 0.9626334)"
"(-1.9961218, 8.202055)"
"(9.364408, 5.142457)"
"(6.1464696, 13.012143)"
"(10.847553, 7.717083)"
"(9.407266, 11.203757)"
"(10.867225, 0.43697765)"
"(11.982168, 3.31658)"
"(5.147719, 8.209565)"
"(5.7759147, 10.770535)"
"(10.024521, 8.657831)"
"(2.7736042, 2.9478195)"
"(-4.536408, 9.3687)"
"(4.7658606, 10.213605)"
"(11.040248, 8.770549)"
"(7.0462165, 10.258169)"
"(3.8281274, 10.691546)"
"(1.639008, 2.1406999)"
"(3.5515666, 11.159346)"
"(-3.314084, 4.3141503)"
"(10.4573765, 0.29394585)"
"(2.6051476, 3.6308243)"
"(1.7990115, 2.39271)"
"(4.500129, 8.053399)"
"(-0.81740123, 8.549049)"
"(5.565055, 4.531742)"
"(5.1857967, 9.2601185)"
"(1.3967904, 6.1174507)"
"(12.268049, 4.7898445)"
"(4.791406, 3.3674452)"
"(-3.2042258, 6.3411508)"
"(9.676504, 13.436956)"
"(12.698718, 2.8776646)"
"(11.957741, 3.690183)"
"(4.3366456, 8.462895)"
"(11.370961, 3.4703722)"
"(5.948984, -0.30194235)"
"(10.699133, 9.090344)"
"(0.2835117, 11.432609)"
"(-2.468007, 11.06913)"
"(0.326314, -4.912269)"
"(4.92928, 8.000922)"
"(10.470549, 1.634855)"
"(7.1767707, 9.716863)"
"(-3.9902527, 7.34277)"
"(-2.5762324, 6.9576964)"
"(2.4565096, 6.799417)"
"(10.235098, 0.4280678)"
"(4.134613, 5.520564)"
"(-1.6708827, 3.9326768)"
"(11.310269, 5.600209)"
"(11.306884, 8.20699)"
"(0.31706637, -2.0482774)"
"(9.342659, 13.840773)"
"(-3.5588982, 4.137647)"
"(6.0894127, 12.323801)"
"(1.4077994, -4.4511533)"
"(-0.6989206, 0.99316496)"
"(7.059611, 13.662763)"
"(2.471051, 6.4062443)"
"(5.515491, 7.511712)"
"(4.3683934, -2.0340047)"
"(0.77696925, -5.1880813)"
"(9.085325, 8.5937605)"
"(-2.0769608, 10.849047)"
"(-1.4104894, 0.7773443)"
"(11.017634, 7.3360853)"
"(11.057699, 6.765079)"
"(5.727908, 7.379514)"
"(0.06761062, -1.330205)"
"(-1.2850068, 9.755283)"
"(-1.3256658, 4.726512)"
"(-3.7665958, 10.903938)"
"(6.095285, 6.6892867)"
"(3.095805, -2.5689619)"
"(-1.117384, 10.676472)"
"(0.19891846, 12.19354)"
"(1.6119307, 9.868005)"
"(-1.4135442, -0.5100322)"
"(3.327218, -1.7753123)"
"(2.5949452, -2.47038)"
"(-0.3400374, 9.513585)"
"(0.5460895, 9.876377)"
"(3.5898962, 4.221131)"
"(10.178248, 1.384467)"
"(10.945239, 0.97607476)"
"(10.076367, 13.351259)"
"(9.29214, 10.281649)"
"(9.643509, 4.771375)"
"(6.2618437, 2.9610252)"
"(-0.45630318, 3.7850838)"
"(-0.57424486, 5.093076)"
"(9.89511, 4.9095545)"
"(1.6182951, 11.280315)"
"(-1.4782094, 11.104191)"
"(-0.28561005, -2.2579396)"
"(7.844119, 7.004196)"
"(5.0167603, -1.4360782)"
"(7.255779, 2.7161858)"
"(0.37728795, 9.047949)"
"(-3.2115016, 3.305565)"
"(8.958504, 10.554684)"
"(-0.81250864, 3.4053512)"
"(-4.0003915, 10.321281)"
"(-4.385324, 10.491094)"
"(10.07804, 10.890061)"
"(-3.296269, 10.970224)"
"(-3.7798817, 6.288377)"
"(-4.409752, 8.46661)"
"(-1.69753, 2.6471732)"
"(3.2142181, 7.5018625)"
"(5.4559608, 0.54764885)"
"(2.0208316, 8.356819)"
"(8.592746, -0.23372966)"
"(8.852318, 7.849022)"
"(-1.8652858, 0.11096089)"
"(1.4683216, 7.0155644)"
"(7.2204895, -1.354635)"
"(10.405239, 9.682599)"
"(10.509762, 8.168711)"
"(6.2334805, -1.7267618)"
"(9.486559, 10.870299)"
"(-0.16654569, 2.1264577)"
"(3.1898906, -1.7994642)"
"(3.575174, -1.2473841)"
"(6.6533837, -1.9335265)"
"(-0.3352564, -1.7109966)"
"(2.1096766, 6.9337955)"
