POS
"(2.70908295809114, 2.73693628086813)"
"(6.9492375099227806, 0.8020497811683738)"
"(4.113999137911491, -1.5550435463767107)"
"(-0.7496136022200705, 0.5913572984277394)"
"(3.8336632899975815, -2.4978386215931323)"
"(-2.150636527450769, 5.936452029012749)"
"(-4.778504001735205, -3.696199510061113)"
"(2.3689692678174503, 2.9619429118238454)"
"(0.28004431241482974, -4.864549685179242)"
"(-3.423009578849267, -2.585286068031472)"
"(-2.686946793253463, 5.541249509303512)"
"(0.41606016842457866, -2.6302096993374238)"
"(5.906775443910295, -1.245952912428374)"
"(2.231405939788716, -5.873003203476371)"
"(-0.08971564728036908, 2.159575212218815)"
"(7.322814716615638, 0.9345032357747378)"
"(6.304113608641293, 2.3231538680459667)"
"(3.3723587547296847, 4.710186772502453)"
"(1.2902890324142535, 5.5619347521661275)"
"(0.05415234577901049, -2.8101097174181104)"
"(5.004866705940182, 2.948234311497593)"
"(-1.499963944160727, 6.893401231435513)"
"(6.896200487817673, -0.46342645133580307)"
"(-2.866725561572547, 3.510659941652557)"
"(0.754366248481855, -4.728277743801815)"
"(2.161052250307392, 1.954107628220856)"
"(-1.376730881180136, -4.396852128956316)"
"(-6.675466008760617, 0.07915516590496935)"
"(-4.652337702067275, -4.138367043045449)"
"(-2.804715183867384, 1.4354531912434294)"
"(-0.5644784632407932, 3.1174370695367477)"
"(-1.8967137987175513, -0.9861415004585653)"
"(0.8294948361198136, -2.626249317843019)"
"(-0.11447667381571563, -1.3555853426259197)"
"(-3.8599892270142, -1.5326478270310724)"
"(3.3249716013058808, 1.7226125927713876)"
"(4.047841851693728, -0.2775313183527808)"
"(-3.5156923591284857, -2.5794465974179994)"
"(-2.2520310862062356, -4.400433451932677)"
"(0.01714111267265127, 6.461220237146578)"
"(-0.6910850299586128, 2.3506467249623597)"
"(1.6515245774005123, 5.0756296423771134)"
"(1.770763157569861, 3.0043810412455323)"
"(4.535012644956095, 0.5621316274768293)"
"(2.0634469096982047, -4.1823982786815925)"
"(-3.0766689748096008, -3.3249097878298657)"
"(6.876566546656791, -0.4396677788215251)"
"(4.977747931893884, 0.5438675509349267)"
"(-0.5219944217062455, 3.098447535559891)"
"(0.613677772600263, -2.716114186668989)"
"(1.5305164941572258, 5.607893498337078)"
"(-2.876695862002895, 1.3468786874341758)"
"(0.9609951577519853, 5.892042542283879)"
"(-4.1816150537868095, -4.757972040943663)"
"(3.1809292115455614, 3.65236638076344)"
"(3.7623261793030207, 3.3599958866721504)"
"(-0.9420237772299923, 4.839736461097999)"
"(-1.8910062953644946, 2.582200826030301)"
"(-6.670554865755213, -0.4091634351416538)"
"(-2.4940488626213666, -2.1011058299656225)"
"(0.2936684807786098, -4.860045774053398)"
"(0.93703606697536, 0.3485446212610661)"
"(1.8542449419857754, -1.6349526996714698)"
"(5.934059779552664, -1.2367511201622912)"
"(-1.5324139082551922, -1.4122588371160179)"
"(-4.621104588011592, -2.384145024227922)"
"(2.7197790344360433, -5.401173958357015)"
"(0.8937658826129913, 0.154891633345088)"
"(6.023063389466164, -0.5633722515078445)"
"(-2.568367281785914, -4.134515008183472)"
"(2.4316116107888956, -6.525882304324474)"
"(-1.9331606259441625, 2.5325980201823355)"
"(-2.8285746608272775, 4.76136712534113)"
"(3.176317853555232, -4.00016725384611)"
"(3.0562689602280435, -0.4080869418005519)"
"(5.0098507647097374, -0.16887145281772525)"
"(0.0699868268330042, -0.1783455135747553)"
"(1.9571837651372184, 0.3954564214271525)"
"(3.5973606131330245, 3.3726395162649436)"
"(0.4693361483146528, 3.0947164241574914)"
"(2.980557084340786, 0.41944294306447305)"
"(-4.542800517553597, 1.8609397618206303)"
"(-2.932644576040055, -1.7261578472393841)"
"(3.6933566449970745, 2.636444706106237)"
"(-0.04298850968694905, -1.695509723412389)"
"(-1.9637143245919815, -3.079240146448211)"
"(5.859366639488003, 3.010212960604067)"
"(-3.7815497032860605, 1.1245298473628726)"
"(4.42087126560332, 1.5935715382197682)"
"(4.8090657054331105, -2.5630551384119395)"
"(3.425940066162303, -2.790967371955437)"
"(-5.678415564123223, -0.37658710893878344)"
"(6.914012571195102, -0.8048011610223197)"
"(4.741189355958416, 3.0804152735036228)"
"(1.5185072543957363, 4.9056862543949755)"
"(-3.0670959440355863, 0.3016165068952637)"
"(6.3011117260276475, 2.3221760606082675)"
"(1.1704841540015816, -4.322002728634951)"
"(-3.0564316961574214, -5.096466400674033)"
"(-1.152813867014426, -3.3526787468013532)"
"(-6.6798268705744555, -0.4095221054853085)"
"(2.064168481334415, -4.183821712737634)"
"(0.3484374683944876, -2.87682806114409)"
"(-0.1166510921134438, 4.217512623773208)"
"(-5.053312164168778, -2.672239193107229)"
"(0.9808683574928896, -3.6738316065375214)"
"(5.285648443255225, 1.7933516012596333)"
"(-4.676287888768364, 1.842301401061891)"
"(4.6804435736140215, -2.5788290935852887)"
"(4.4186780947038375, 1.5928440258094396)"
"(0.7733710972400597, -6.974960561956004)"
"(1.77180676751357, -7.3903161301763705)"
"(-2.119415151201148, 1.0423456612516462)"
"(5.0445294272826855, -0.6239387707836355)"
"(-1.9251378633355463, 2.5199927697763136)"
"(1.2428544857418222, -2.7514397958842904)"
"(-3.1034362335429937, -1.0020278868764683)"
"(5.928021557319773, -1.252350274143621)"
"(-2.576041175200532, -4.146627647588196)"
"(-1.5021784450693916, -4.574321104039397)"
"(0.5413396208727782, 3.2548816121408963)"
"(5.187376537373751, 2.5155240905438405)"
"(-3.3706628095308933, -5.042280127208692)"
"(-2.925722910331698, 5.579432213319588)"
"(1.49980816428611, 4.861766848651878)"
"(1.1495957728633572, -0.5180829842104501)"
"(-6.624417168687392, 0.8104017645369013)"
"(1.197540221736958, 3.8041616487101426)"
"(-3.2982927800453465, -5.108048698247548)"
"(1.7582734771722237, -1.0517563854864187)"
"(-2.8783862199939443, 3.4012718895671425)"
"(6.041395807927063, -0.0762436002339332)"
"(3.942909738554843, 0.9444233133482302)"
"(-2.753695196719882, 5.6773484905658265)"
"(3.445149323380945, -2.9529932170687885)"
"(-3.7545744383290267, 2.2424379459065227)"
"(1.592134857018243, -3.2288943754748263)"
"(-0.24584865010609463, -4.822332041664377)"
"(2.1067032024795918, -0.010591041308935312)"
"(6.8796579974848555, -0.43959751232835587)"
"(-1.7741333153360235, -2.4869190241932864)"
"(6.410403998818465, 1.645430988411762)"
"(-0.8629610260540632, 5.942690841304181)"
"(-0.11220450287884483, -3.865222090021621)"
"(-6.036378693632358, -0.157469005661042)"
"(4.796219160811155, -2.6428971097351948)"
"(-6.664302670362712, 0.07996291666497723)"
"(1.8126263552316133, 2.22333248384428)"
"(6.465358235850981, 1.5867147446029257)"
"(-1.022278927405881, 4.130578099590173)"
"(1.6314303182510832, -0.5978278825230724)"
"(-2.150636527450769, 5.936452029012749)"
"(-1.2498193952095047, -5.3699464879595)"
"(-1.4944779963048807, 6.891948960484458)"
"(2.530386650553435, 1.0992980544539332)"
"(-2.454425438476041, 3.7490917650201743)"
"(-1.2558431034640491, -5.507122405413592)"
"(-0.7469344307275079, 4.9660614341427065)"
"(-0.45867575997431626, 6.459169320834078)"
"(2.6143120446123334, -5.091174677213926)"
"(-6.952681932374117, -0.5615652576194016)"
"(-0.43327704537020956, 6.4150679222750595)"
"(-3.8082178816750334, 0.536760418049579)"
"(3.49705014013022, 0.7417529890906592)"
"(5.313578341466001, 1.7918021231289285)"
"(3.580257144212401, -2.4379572436982437)"
"(-2.0329536553771743, 3.974591980961265)"
"(1.5428529831394022, 2.439611092625614)"
"(-4.436158031609298, 2.480974296840254)"
"(4.958273021379167, -0.1814002130973081)"
"(-5.626542119331414, 0.7093029173884777)"
"(0.22345577639593922, -0.6459773453479304)"
"(0.08058746331131678, 1.1279317142122114)"
"(-0.5644784632407932, 3.1174370695367477)"
"(0.24499896887210162, -5.941258637492808)"
"(-3.2966886977578294, -5.106208680461452)"
"(3.49705014013022, 0.7417529890906592)"
"(-1.7701652282084206, 1.3714842663406683)"
"(1.5227293842035619, 4.862366081635544)"
"(-2.875372015920054, 1.3465356963095685)"
"(0.23650798116289004, -5.900184293999969)"
"(1.4842898121570056, 4.543671841900773)"
"(3.580071010741937, 0.3464797268378334)"
"(0.1863776655150171, -1.2979920147182549)"
"(0.16726857988289257, 2.179242763278241)"
"(2.4325032935450364, -6.5280540742573905)"
"(-0.19344655848392064, -2.0267782380891273)"
"(6.499139672684636, 0.06152412286410425)"
"(-0.9458692471167697, -5.47359809280971)"
"(-0.27201620475284266, 6.6357337535088545)"
"(-1.1232683849764322, -4.402510826555596)"
"(3.315516410814588, -3.298859860601932)"
"(-3.690686385115745, 0.09450169326383158)"
"(3.6101037747424445, -2.779155114402803)"
"(0.27679944521688266, 0.19543987374388685)"
"(3.0664912052154456, 0.4297012644814189)"
"(2.789701398395239, -2.3409843608159684)"
"(-2.1846430525063307, 3.7909404905608923)"
"(-1.1179203765417811, 0.8101957159731629)"
"(-3.7957912843552233, -1.7904987103372727)"
"(4.394425832773004, 1.5830148208058805)"
"(-3.598113287843386, -2.044705611228531)"
"(2.8101196743637242, -2.8169896219484296)"
"(1.1343685012654994, 5.929586276276428)"
"(-5.68759395864902, 0.15429801774734142)"
"(-3.3984672088391115, 4.38975031668278)"
"(4.6804435736140215, -2.5788290935852887)"
"(5.827239729954228, 2.7249756754851804)"
"(-4.1428461675164705, -4.782082702506898)"
"(-2.145809199778898, -3.4897181223372606)"
"(-3.3987152930067026, 4.413335378490511)"
"(4.180524121892759, 2.1046542190353192)"
"(1.9983210912993856, 4.099573500924757)"
"(4.017886113013934, -1.900666222919383)"
"(-0.2137376336431833, 6.065306359617388)"
"(-0.4652823788594282, 6.472105361750111)"
"(-1.0218322488749432, 4.132596342552036)"
"(4.451344042355778, 1.143184790488136)"
"(-6.0086839671814785, -0.05911307012597433)"
"(4.037463547034062, 2.7235638739655386)"
"(2.26408123089507, -6.245455497057249)"
"(2.4316116107888956, -6.525882304324474)"
"(-4.625259711842685, -2.390152212217835)"
"(2.239385540395291, 1.8918951947011453)"
"(3.0122414620143685, -1.4755612185206188)"
"(1.0081168823762459, -1.8023317646734578)"
"(-0.45671700852957925, -0.9277181964775452)"
"(0.18754617344995025, -2.8689934500601724)"
"(4.423159070231145, -3.605202370789023)"
"(-2.9882732207143823, -0.8864353863295849)"
"(-0.5602501063244295, -4.399482218975168)"
"(4.006551931873637, -0.24516234946125867)"
"(-4.670169590024707, 0.49068866935544364)"
"(5.481167554655371, 1.378333296069074)"
"(-1.5079830144447162, 5.895445846424692)"
"(-1.9810711303827018, 1.7212077596701085)"
"(5.9280271468214805, -1.2523272195144775)"
"(3.1825755123109434, 3.6538114007221494)"
"(3.2894970733260496, 3.533630775610598)"
"(-0.058883866337912726, 3.1690459527736397)"
"(-1.898720330042074, -0.9851739809748129)"
"(-4.645916726514783, -4.125646316770028)"
"(-0.02074257519816425, -1.7841136021862272)"
"(0.5798031788816895, 0.9053570922727191)"
"(2.2861687911447213, 3.9152744774031065)"
"(1.1642962197398865, 3.495946898828646)"
"(-3.869596014873784, 3.4632412755225435)"
"(-2.670429145846769, 1.459702012535977)"
"(2.250263300249853, -6.218463789710237)"
"(-1.897788863439352, -0.9847523891133284)"
"(-2.6021709617818445, -2.914199800156942)"
"(6.57873435009224, 0.8217209476003597)"
"(3.779979797929643, -4.062682510219905)"
"(-0.9563585964574233, -1.3227847540758482)"
"(4.419087825571564, -3.6017462473688537)"
"(2.887465154205798, -1.8325364940284758)"
"(1.4358673215131512, 3.4019823036095707)"
"(-0.4603960091375286, 0.2706465117241116)"
"(0.7797111269298403, -4.815218554782627)"
