POS
"(2.9031796, 8.168818)"
"(10.995567, 8.504567)"
"(1.7652137, 3.134683)"
"(0.530582, -1.1638644)"
"(6.7749076, 0.9361009)"
"(1.0713816, 7.450397)"
"(-4.9511867, 8.413196)"
"(7.9919367, 5.8865385)"
"(10.746525, 8.634297)"
"(3.4510443, -0.1684286)"
"(9.41552, 8.401755)"
"(-1.4661344, 0.75552917)"
"(5.501542, 13.798092)"
"(8.839735, 5.396651)"
"(10.0912285, 6.41274)"
"(1.4048026, 13.382226)"
"(1.3497467, 4.4592085)"
"(-2.06322, 2.790995)"
"(11.828027, 6.101251)"
"(0.8393532, 1.504881)"
"(0.84335667, 6.444175)"
"(1.9772968, 10.910964)"
"(1.4312419, 7.420099)"
"(5.2103443, 12.166529)"
"(3.788247, 0.0619095)"
"(2.2791626, 0.93700737)"
"(0.33484212, 1.7536769)"
"(-2.8602245, -0.79397786)"
"(9.190669, 0.77871734)"
"(3.004981, -1.5024052)"
"(-1.7214493, -0.98265904)"
"(2.6948543, -3.6617446)"
"(1.541424, 8.070554)"
"(-5.903583, 5.8187714)"
"(-3.3891869, 0.6524584)"
"(1.6677854, 10.355293)"
"(3.6611707, -4.89969)"
"(10.134094, 6.071557)"
"(0.8894324, 12.597456)"
"(0.8627567, 9.82336)"
"(1.2080897, 9.000911)"
"(1.1646974, 14.928285)"
"(6.948785, 0.5979679)"
"(7.4133463, 9.372702)"
"(6.4236593, -3.131881)"
"(2.1686726, -2.6655796)"
"(-1.8892449, 7.201085)"
"(0.47674304, 5.077734)"
"(10.187484, 8.323038)"
"(0.77185434, 1.9368565)"
"(9.259813, 11.044465)"
"(10.520565, 4.0128336)"
"(13.075868, 6.0321445)"
"(13.327834, 7.4640446)"
"(-5.769452, 4.0807114)"
"(6.434747, 8.9587755)"
"(8.209788, 12.131372)"
"(6.7803617, -4.080102)"
"(5.450776, -4.286158)"
"(10.988352, 1.6145355)"
"(2.1594186, 14.869092)"
"(-0.08785941, 14.392353)"
"(11.52048, 3.1430168)"
"(1.5979937, 6.2254987)"
"(7.7868156, 7.554439)"
"(-0.047650926, 12.421271)"
"(-5.2234373, 8.589698)"
"(5.42163, 1.2515849)"
"(1.6108679, 2.5968113)"
"(-3.9166708, 4.4316545)"
"(11.31887, 7.453647)"
"(4.5201387, -4.310097)"
"(1.1837423, 10.5026245)"
"(9.410888, 5.7321434)"
"(10.496466, 2.1673422)"
"(2.2755609, 14.673783)"
"(4.268549, 13.587346)"
"(3.0131364, 9.736986)"
"(-3.752181, 1.6970332)"
"(8.402712, -1.0468607)"
"(8.469785, 6.9283504)"
"(2.9877868, 9.009282)"
"(-0.6355804, 10.82117)"
"(0.09325388, 1.8023405)"
"(2.6896324, 2.2993932)"
"(5.2077456, 11.271598)"
"(4.563061, 12.079306)"
"(12.148979, 6.9078674)"
"(4.6603093, 13.823108)"
"(5.4866915, 14.068042)"
"(10.661098, 4.4985933)"
"(-0.4277656, 11.680315)"
"(2.3973339, 7.9981704)"
"(-2.9192886, 5.8316364)"
"(-2.1582625, 9.527529)"
"(10.514792, 6.6726418)"
"(6.33345, -1.6665499)"
"(5.8996997, 8.538147)"
"(3.4761388, 13.050902)"
"(4.1964564, 2.9809391)"
"(7.5326552, 12.767213)"
"(9.51417, 9.985674)"
"(4.176854, 1.4208896)"
"(5.5731573, -0.98823476)"
"(7.092149, 11.47357)"
"(2.484351, 14.456798)"
"(10.033841, 6.303091)"
"(2.6346645, 10.51724)"
"(9.217372, 0.5536034)"
"(10.709861, 4.7593293)"
"(8.399316, 1.1994153)"
"(11.539664, 2.5953388)"
"(-4.512776, 0.84575963)"
"(-6.8098407, 3.4024804)"
"(2.3042676, 2.0927892)"
"(1.6458672, 6.7848253)"
"(3.1041954, 14.726764)"
"(6.3780265, 13.314983)"
"(-0.7792462, -1.0927641)"
"(-3.2114534, 6.1707854)"
"(-1.5673699, 8.067927)"
"(-6.1462936, 5.705012)"
"(5.319167, -0.9185162)"
"(3.0416546, -1.4708295)"
"(1.7378902, -0.059286658)"
"(5.9806805, -4.795519)"
"(-6.064264, 7.809428)"
"(-0.2651859, 6.961204)"
"(2.5688398, 8.782176)"
"(-1.1660686, 11.09361)"
"(4.5666685, -1.7513766)"
"(1.8881457, 1.895141)"
"(3.8602076, 6.742185)"
"(-6.8032317, 3.97599)"
"(13.153162, 5.3191566)"
"(2.1786432, 1.541576)"
"(3.4514236, -0.038629286)"
"(11.033771, 9.089565)"
"(5.8398767, 12.3014345)"
"(1.1040217, 3.8084514)"
"(2.348684, 6.984767)"
"(-6.0341897, 6.583948)"
"(1.2143832, 11.315677)"
"(2.640357, -3.5332315)"
"(2.4431355, 11.887957)"
"(1.7366533, 3.7543716)"
"(-5.133933, 1.4545273)"
"(10.862599, 7.5781007)"
"(0.9197169, 4.001649)"
"(1.2989132, 3.3203313)"
"(4.076574, 13.803576)"
"(2.749612, -4.2512803)"
"(-4.5059066, 9.34139)"
"(-1.484172, 11.062338)"
"(-4.3451047, 4.2051754)"
"(6.4913626, 7.926469)"
"(6.320732, 9.593802)"
"(12.669019, 7.36464)"
"(7.6590185, 3.758817)"
"(5.559424, 1.3280013)"
"(9.382794, 9.387505)"
"(12.074583, 3.6660554)"
"(-0.25552094, 9.901958)"
"(3.5167558, 10.016748)"
"(-2.7357593, 7.515776)"
"(8.116297, -0.6460897)"
"(4.07375, 2.1191905)"
"(8.289907, 10.684792)"
"(2.2128563, -2.9717681)"
"(0.08738302, -0.77161354)"
"(-2.2234306, 0.13354339)"
"(-5.17472, 3.8631825)"
"(-0.37739122, 14.249215)"
"(11.779357, 2.9285312)"
"(10.70429, 8.298921)"
"(-4.664908, 2.7269623)"
"(-1.7506641, 10.510941)"
"(4.523048, 6.816994)"
"(10.152451, 7.8425574)"
"(5.020086, 2.5996387)"
"(-3.5534158, -0.3291135)"
"(0.001262705, 4.301704)"
"(0.08320192, -1.1325681)"
"(-3.0780363, 3.1937)"
"(-0.050559055, 1.2991335)"
"(-5.273537, 7.9992824)"
"(5.6414685, 12.498225)"
"(2.8509014, 0.7502751)"
"(-1.6137038, -0.02928879)"
"(6.4044714, 8.536855)"
"(8.429402, -0.12925752)"
"(-3.1192224, 6.9324493)"
"(-2.1008742, 2.0907853)"
"(-0.7616826, 7.3158727)"
"(-1.6603047, 3.156613)"
"(4.484975, 9.722438)"
"(6.1036506, -4.289659)"
"(2.0749958, 9.743321)"
"(7.5461183, -1.841849)"
"(2.2168324, 1.0831295)"
"(9.8505535, 1.883657)"
"(1.790149, 0.45699534)"
"(6.022994, -3.7005627)"
"(4.5093803, -5.5846653)"
"(1.499532, -0.34875295)"
"(5.243156, 9.11807)"
"(3.4912674, 6.8302803)"
"(-3.5332713, 7.260555)"
"(2.9225736, 12.412798)"
"(12.705019, 4.322771)"
"(1.2849915, 8.293574)"
"(5.9820666, 1.5007385)"
"(4.860561, 6.487951)"
"(1.1916406, 0.0034435273)"
"(10.813258, 9.962398)"
"(3.2787154, -4.168911)"
"(2.4952612, 9.395498)"
"(9.397112, 11.338645)"
"(10.161416, 1.2876917)"
"(13.346617, 6.489923)"
"(5.637179, 5.875123)"
"(4.934109, 4.1853075)"
"(7.505532, 1.1175991)"
"(5.2969775, 11.540086)"
"(12.041805, 2.3184922)"
"(9.746897, 6.18138)"
"(8.605739, 9.740417)"
"(4.2486234, 3.6426218)"
"(-2.8064454, 2.0620418)"
"(12.730985, 4.0221133)"
"(2.3325155, -1.5661161)"
"(-2.1967895, 5.619014)"
"(5.267561, -1.6141615)"
"(-6.0859923, 3.5426948)"
"(-2.2259421, 9.632602)"
"(4.376813, 0.41468897)"
"(12.338513, 5.1425567)"
"(-3.8883781, 0.24400392)"
"(5.3363233, 11.842715)"
"(0.7163424, -0.723273)"
"(-3.4642854, -0.19946069)"
"(4.980477, 14.054036)"
"(5.92276, -3.7721846)"
"(-0.51185983, 7.1947412)"
"(6.070052, 6.652919)"
"(0.9893184, 2.8155062)"
"(1.6194539, 15.063558)"
"(9.7553835, 2.752831)"
"(6.86312, -3.05982)"
"(10.185194, 10.122795)"
"(4.0364995, 13.912707)"
"(1.0808191, 4.7323623)"
"(8.326875, -1.7671505)"
"(-6.4096217, 6.226501)"
"(-1.3676107, 10.28808)"
"(3.465377, -4.773485)"
"(7.480638, 1.0103687)"
"(4.276118, -1.0644659)"
"(-0.21666364, 13.918027)"
"(0.7256227, 6.075944)"
"(4.019945, 1.6400146)"
"(-4.0453143, 9.591819)"
"(-2.4455705, -0.6763297)"
"(0.9183889, -1.931067)"
"(4.861891, 10.381238)"
"(4.8176303, 9.500048)"
"(11.637083, 7.1867247)"
"(8.43703, 1.1734871)"
"(6.4290824, -3.771747)"
"(7.8287888, 1.0173955)"
"(-4.0620885, 8.907921)"
"(4.7207837, 11.423109)"
"(0.3430004, 14.775605)"
"(1.0169004, -2.4845655)"
"(5.6536617, 10.4030905)"
"(0.8009887, 14.570674)"
"(2.6608043, 5.3579884)"
"(2.8931892, 12.654315)"
"(-2.4225287, 6.6225142)"
"(1.6517267, 0.20880671)"
"(6.2115, 10.644682)"
"(11.120369, 2.5512264)"
"(4.340407, 2.164046)"
"(-1.2443334, 3.500386)"
"(8.711297, 11.38136)"
"(-3.0415456, 4.584241)"
"(-5.1381497, 5.1292553)"
"(2.9228106, 0.08265289)"
"(11.032359, 4.368949)"
"(-4.7507014, 4.9726634)"
"(-5.826363, 2.915583)"
"(5.1433635, 5.852801)"
"(-2.1582398, 1.3482314)"
"(-3.665939, 1.3376586)"
"(-2.3961043, -0.9326012)"
